M/W,Team,No.,Player Name,Position
Men,Australia,3,Pope,OH
Men,Australia,4,Holland,L
Men,Australia,8,O'Dea,MB
Men,Australia,9,Aubrey,O
Men,Australia,10,Flowerday,OH
Men,Australia,13,Heptinstall,OH
Men,Australia,16,Croft,MB
Men,Australia,17,McGruther,MB
Men,Australia,19,D'Arcy,O
Men,Australia,21,Butler,S
Men,Australia,22,Ebbs,L
Men,Australia,23,Page,S
Men,Australia,27,Senica,OH
Men,Australia,40,Yarad,MB
Men,Bahrain,2,M.ANAN,O
Men,Bahrain,4,Alkhabbaz,MB
Men,Bahrain,5,H.MANSOOR,S
Men,Bahrain,6,Sayed,OH
Men,Bahrain,7,Mahmood,S
Men,Bahrain,8,ABDULWAHED,OH
Men,Bahrain,9,MOHAMED,MB
Men,Bahrain,12,H.ALLAWI,MB
Men,Bahrain,13,A.EBRAHIM,O
Men,Bahrain,15,N.Anan,OH
Men,Bahrain,17,M.YAQOOB,OH
Men,Bahrain,18,AYMAN,L
Men,Bahrain,20,A.ABDULLA,L
Men,Bahrain,21,H . ALI,MB
Men,Chinese Taipei,1,Chang Y.C.,OH
Men,Chinese Taipei,2,CHEN B.X.,L
Men,Chinese Taipei,4,Wen Y.K.,OH
Men,Chinese Taipei,5,Lin C.,S
Men,Chinese Taipei,7,Chen J.T.,S
Men,Chinese Taipei,9,Kan M.H.,MB
Men,Chinese Taipei,11,Chen E.D.,O
Men,Chinese Taipei,12,Liu Y.L.,OH
Men,Chinese Taipei,13,Hsu R.E,MB
Men,Chinese Taipei,14,Chang Y.S.,O
Men,Chinese Taipei,15,Wang P.H.,MB
Men,Chinese Taipei,16,Li C.Y.,MB
Men,Chinese Taipei,19,Chen Y.C.,L
Men,Chinese Taipei,20,Li Y.,OH
Men,Indonesia,1,Hendrik,L
Men,Indonesia,3,Boy,OH
Men,Indonesia,4,Hendra,MB
Men,Indonesia,6,Malizi,MB
Men,Indonesia,8,Jasen,S
Men,Indonesia,9,RAMA,O
Men,Indonesia,10,Fahri,OH
Men,Indonesia,11,Doni,OH
Men,Indonesia,12,Rivan,O
Men,Indonesia,14,Farhan,OH
Men,Indonesia,15,Dio,S
Men,Indonesia,16,Tedi,MB
Men,Indonesia,17,Ega,MB
Men,Indonesia,18,Ruby,L
Men,Kazakhstan,1,Boken,L
Men,Kazakhstan,3,Prokofyev,MB
Men,Kazakhstan,5,Kuznetsov,S
Men,Kazakhstan,7,Michshenko,O
Men,Kazakhstan,8,Churzin,O
Men,Kazakhstan,9,Okunev,L
Men,Kazakhstan,10,Aldash,OH
Men,Kazakhstan,11,Akimov,MB
Men,Kazakhstan,12,Kadirkhanov,MB
Men,Kazakhstan,13,Kunchenko,OH
Men,Kazakhstan,17,Zhaxylykov,MB
Men,Kazakhstan,18,Vorivodin,OH
Men,Kazakhstan,21,Nurmakhambetov,S
Men,Kazakhstan,25,Kempa,OH
Men,Korea,2,Taekeui,S
Men,Korea,3,Taejun,S
Men,Korea,4,Jiwon,L
Men,Korea,5,Kyeongmin,L
Men,Korea,6,Juyeong,S
Men,Korea,7,Subong,OH
Men,Korea,11,Youngseok,MB
Men,Korea,15,Woojin,OH
Men,Korea,16,Dongseon,OH
Men,Korea,17,Donghyeok,O
Men,Korea,18,Junhyeok,MB
Men,Korea,20,Sanghyeon,MB
Men,Korea,30,Hojin,O
Men,Korea,99,Jihan,OH
Men,New Zealand,1,Malcolm,MB
Men,New Zealand,3,Shipton,L
Men,New Zealand,4,Butterfield,MB
Men,New Zealand,5,Salmon,OH
Men,New Zealand,7,Timmer,OH
Men,New Zealand,8,Wagner,S
Men,New Zealand,9,Vesty,S
Men,New Zealand,11,Pheiffer,OH
Men,New Zealand,12,Placid,OH
Men,New Zealand,13,Morrison,O
Men,New Zealand,14,Grant,O
Men,New Zealand,15,McIntosh,MB
Men,Pakistan,1,Salman,OH
Men,Pakistan,7,Usman,OH
Men,Pakistan,10,Fahad Raza,O
Men,Pakistan,11,Murad,O
Men,Pakistan,13,Kashif,S
Men,Pakistan,14,Zaheer,MB
Men,Pakistan,15,Murad,OH
Men,Pakistan,16,Afaq,OH
Men,Pakistan,17,Hamid,S
Men,Pakistan,18,Musawer,MB
Men,Pakistan,19,Nasir,L
Men,Pakistan,21,YASEEN,L
Men,Pakistan,24,AHMAD,MB
Men,Philippines,2,Ybanez,L
Men,Philippines,3,Retamar,S
Men,Philippines,5,Rotter,O
Men,Philippines,6,Reed,OH
Men,Philippines,7,Malabunga,MB
Men,Philippines,8,Bugaoan,MB
Men,Philippines,13,Kalingking,L
Men,Philippines,15,Espejo,OH
Men,Philippines,16,Taguibolos,MB
Men,Philippines,17,Ordiales,O
Men,Philippines,19,Adajar,S
Men,Philippines,20,Josafat,MB
Men,Philippines,21,Ramirez,OH
Men,Philippines,22,Buddin,OH
Men,Qatar,1,Y.Oughlaf,OH
Men,Qatar,2,Pape,MB
Men,Qatar,4,Renan,OH
Men,Qatar,5,Sulaiman,L
Men,Qatar,6,Bobby,S
Men,Qatar,7,Belal,MB
Men,Qatar,8,Waleed,OH
Men,Qatar,9,Milos,S
Men,Qatar,11,Nikola,OH
Men,Qatar,12,Mubarak,O
Men,Qatar,13,Raimi,OH
Men,Qatar,16,Ibrahim,MB
Men,Qatar,19,Naji,L
Men,Qatar,21,Osman,MB
Men,Thailand,1,C.Nattapong,L
Men,Thailand,2,P.Prasert,MB
Men,Thailand,3,K.Amornthep,O
Men,Thailand,4,P.Anut,OH
Men,Thailand,5,N.Kissada,MB
Men,Thailand,7,P.TOOPADIT,MB
