M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25,25,18,25,-,18,12,25,22,-,ALL,44 ,92,49,78,65,48,14,3,,48,17,47,112,14,16,14,44,3,9,80,92,23,1,40,64,43,13,66,13,0,96,109
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25,25,18,25,-,18,12,25,22,-,1,14 ,25,11,18,17,14,3,0,,14,5,9,28,3,4,5,12,0,2,22,24,9,0,7,16,14,3,18,7,0,22,29
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25,25,18,25,-,18,12,25,22,-,2,16 ,24,9,13,21,14,4,3,,14,1,12,27,4,2,2,8,3,2,20,25,6,0,5,11,9,4,19,0,0,25,25
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25,25,18,25,-,18,12,25,22,-,3,3 ,19,15,24,11,9,2,0,,9,5,13,27,2,3,1,6,0,4,14,18,4,0,15,19,7,3,12,4,0,23,27
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Pakistan,Philippines,3,1,25,25,18,25,-,18,12,25,22,-,4,11 ,24,14,23,16,11,5,0,,11,6,13,30,5,7,6,18,0,1,24,25,4,1,13,18,13,3,17,2,0,26,28
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18,12,25,22,-,25,25,18,25,-,ALL,29 ,78,48,92,62,45,13,4,,45,27,47,119,13,13,17,43,4,11,63,78,27,3,53,83,40,16,63,14,1,105,120
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18,12,25,22,-,25,25,18,25,-,1,7 ,18,11,25,13,9,3,1,,9,9,18,36,3,4,1,8,1,2,16,19,8,0,14,22,12,2,17,9,0,27,36
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18,12,25,22,-,25,25,18,25,-,2,4 ,13,8,24,9,9,0,0,,9,4,12,25,0,4,3,7,0,1,11,12,4,3,16,23,9,7,18,2,1,25,28
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18,12,25,22,-,25,25,18,25,-,3,9 ,24,16,19,20,14,4,2,,14,4,3,21,4,3,5,12,2,4,19,25,7,0,7,14,8,3,12,1,0,21,22
Men,2025,1,2025/6/17,Pool_C,-,Manama,Bahrain,Philippines,Pakistan,1,3,18,12,25,22,-,25,25,18,25,-,4,9 ,23,13,24,20,13,6,1,,13,10,14,37,6,2,8,16,1,4,17,22,8,0,16,24,11,4,16,2,0,32,34
Men,2025,2,2025/6/17,Pool_D,-,Manama,Bahrain,Korea,New Zealand,3,0,28,25,25,-,-,26,13,22,-,-,ALL,34 ,77,44,62,52,43,6,3,,43,11,22,76,6,6,13,25,3,12,62,77,14,2,35,51,28,8,42,13,2,62,77
Men,2025,2,2025/6/17,Pool_D,-,Manama,Bahrain,Korea,New Zealand,3,0,28,25,25,-,-,26,13,22,-,-,1,9 ,28,19,26,20,18,2,0,,18,4,10,32,2,1,5,8,0,5,23,28,8,1,13,22,12,2,17,6,1,26,33
Men,2025,2,2025/6/17,Pool_D,-,Manama,Bahrain,Korea,New Zealand,3,0,28,25,25,-,-,26,13,22,-,-,2,15 ,24,10,14,16,13,1,2,,13,3,4,20,1,3,3,7,2,3,19,24,0,0,10,10,8,3,13,3,1,16,20
Men,2025,2,2025/6/17,Pool_D,-,Manama,Bahrain,Korea,New Zealand,3,0,28,25,25,-,-,26,13,22,-,-,3,10 ,25,15,22,16,12,3,1,,12,4,8,24,3,2,5,10,1,4,20,25,6,1,12,19,8,3,12,4,0,20,24
Men,2025,2,2025/6/17,Pool_D,-,Manama,Bahrain,New Zealand,Korea,0,3,26,13,22,-,-,28,25,25,-,-,ALL,18 ,62,43,77,41,34,5,2,,34,19,31,84,5,11,13,29,2,11,49,62,17,3,45,65,21,12,35,17,1,59,77
Men,2025,2,2025/6/17,Pool_D,-,Manama,Bahrain,New Zealand,Korea,0,3,26,13,22,-,-,28,25,25,-,-,1,7 ,26,19,28,18,15,2,1,,15,5,13,33,2,3,6,11,1,4,21,26,8,0,15,23,8,7,17,12,0,18,30
Men,2025,2,2025/6/17,Pool_D,-,Manama,Bahrain,New Zealand,Korea,0,3,26,13,22,-,-,28,25,25,-,-,2,4 ,14,9,24,7,6,1,0,,6,6,9,21,1,6,2,9,0,4,10,14,2,2,17,21,5,1,6,2,0,19,21
Men,2025,2,2025/6/17,Pool_D,-,Manama,Bahrain,New Zealand,Korea,0,3,26,13,22,-,-,28,25,25,-,-,3,7 ,22,15,25,16,13,2,1,,13,8,9,30,2,2,5,9,1,3,18,22,7,1,13,21,8,4,12,3,1,22,26
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Bahrain,Thailand,3,1,25,21,25,25,-,21,25,19,22,-,ALL,35 ,95,61,88,65,45,18,2,,45,10,44,99,18,36,17,71,2,7,86,95,20,2,47,69,27,15,52,8,3,84,95
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Bahrain,Thailand,3,1,25,21,25,25,-,21,25,19,22,-,1,10 ,24,15,22,17,10,6,1,,10,2,10,22,6,9,4,19,1,2,22,25,6,0,9,15,7,4,13,1,1,21,23
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Bahrain,Thailand,3,1,25,21,25,25,-,21,25,19,22,-,2,7 ,22,14,24,14,11,2,1,,11,6,14,31,2,11,2,15,1,1,19,21,5,1,15,21,7,4,16,2,0,28,30
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Bahrain,Thailand,3,1,25,21,25,25,-,21,25,19,22,-,3,9 ,24,16,20,17,12,5,0,,12,1,7,20,5,7,5,17,0,2,23,25,4,1,11,16,4,3,7,0,0,17,17
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Bahrain,Thailand,3,1,25,21,25,25,-,21,25,19,22,-,4,9 ,25,16,22,17,12,5,0,,12,1,13,26,5,9,6,20,0,2,22,24,5,0,12,17,9,4,16,5,2,18,25
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Thailand,Bahrain,1,3,21,25,19,22,-,25,21,25,25,-,ALL,27 ,88,60,95,70,64,4,2,,64,28,36,128,4,20,23,47,2,19,67,88,26,2,60,88,41,9,60,11,0,112,123
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Thailand,Bahrain,1,3,21,25,19,22,-,25,21,25,25,-,1,7 ,22,14,24,17,16,1,0,,16,8,10,34,1,6,7,14,0,6,15,21,5,1,17,23,12,2,16,3,0,31,34
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Thailand,Bahrain,1,3,21,25,19,22,-,25,21,25,25,-,2,10 ,24,15,22,19,17,1,1,,17,4,5,26,1,5,10,16,1,4,20,25,5,1,14,20,5,4,14,2,0,23,25
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Thailand,Bahrain,1,3,21,25,19,22,-,25,21,25,25,-,3,4 ,20,15,24,17,15,1,1,,15,10,9,34,1,3,2,6,1,3,15,19,6,0,17,23,12,1,13,2,0,30,32
Men,2025,3,2025/6/17,Pool_A,-,Manama,Bahrain,Thailand,Bahrain,1,3,21,25,19,22,-,25,21,25,25,-,4,6 ,22,16,25,17,16,1,0,,16,6,12,34,1,6,4,11,0,6,17,23,10,0,12,22,12,2,17,4,0,28,32
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Chinese Taipei,Philippines,3,1,25,23,30,25,-,19,25,28,20,-,ALL,33 ,102,70,93,72,59,11,2,,59,18,35,112,11,27,28,66,2,14,86,102,29,2,45,76,31,11,50,14,0,94,108
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Chinese Taipei,Philippines,3,1,25,23,30,25,-,19,25,28,20,-,1,10 ,24,15,20,19,14,4,1,,14,5,6,25,4,5,8,17,1,4,20,25,5,1,9,15,7,2,12,1,0,21,22
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Chinese Taipei,Philippines,3,1,25,23,30,25,-,19,25,28,20,-,2,7 ,24,16,24,17,14,3,0,,14,5,11,30,3,3,7,13,0,3,20,23,8,1,13,22,9,3,12,6,0,23,29
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Chinese Taipei,Philippines,3,1,25,23,30,25,-,19,25,28,20,-,3,7 ,29,23,29,19,16,2,1,,16,4,10,30,2,11,4,17,1,5,24,30,8,0,14,22,8,4,13,4,0,26,30
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Chinese Taipei,Philippines,3,1,25,23,30,25,-,19,25,28,20,-,4,9 ,25,16,20,17,15,2,0,,15,4,8,27,2,8,9,19,0,2,22,24,8,0,9,17,7,2,13,3,0,24,27
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Philippines,Chinese Taipei,1,3,19,25,28,20,-,25,23,30,25,-,ALL,23 ,93,69,102,70,57,11,2,,57,19,45,121,11,30,18,59,2,17,74,93,25,2,61,88,38,20,64,18,1,103,122
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Philippines,Chinese Taipei,1,3,19,25,28,20,-,25,23,30,25,-,1,5 ,20,14,24,14,9,4,1,,9,5,11,25,4,8,3,15,1,4,14,19,5,1,15,21,9,6,16,6,1,21,28
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Philippines,Chinese Taipei,1,3,19,25,28,20,-,25,23,30,25,-,2,8 ,24,17,24,19,16,2,1,,16,4,11,31,2,8,6,16,1,3,21,25,6,0,14,20,11,3,15,1,0,29,30
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Philippines,Chinese Taipei,1,3,19,25,28,20,-,25,23,30,25,-,3,6 ,29,22,29,20,18,2,0,,18,5,8,31,2,5,5,12,0,6,22,28,9,1,15,25,6,10,19,7,0,24,31
Men,2025,4,2025/6/18,Pool_C,-,Manama,Bahrain,Philippines,Chinese Taipei,1,3,19,25,28,20,-,25,23,30,25,-,4,4 ,20,16,25,17,14,3,0,,14,5,15,34,3,9,4,16,0,4,17,21,5,0,17,22,12,1,14,4,0,29,33
Men,2025,5,2025/6/18,Pool_D,-,Manama,Bahrain,Vietnam,New Zealand,3,0,25,25,25,-,-,23,22,15,-,-,ALL,30 ,74,45,61,52,48,0,4,,48,13,28,89,0,17,8,25,4,11,58,73,17,2,33,52,27,5,44,15,0,69,84
Men,2025,5,2025/6/18,Pool_D,-,Manama,Bahrain,Vietnam,New Zealand,3,0,25,25,25,-,-,23,22,15,-,-,1,9 ,25,16,23,14,14,0,0,,14,6,13,33,0,9,2,11,0,3,21,24,6,2,13,21,9,2,16,5,0,27,32
Men,2025,5,2025/6/18,Pool_D,-,Manama,Bahrain,Vietnam,New Zealand,3,0,25,25,25,-,-,23,22,15,-,-,2,10 ,24,15,23,18,16,0,2,,16,6,13,35,0,5,4,9,2,2,21,25,6,0,11,17,10,2,19,7,0,24,31
Men,2025,5,2025/6/18,Pool_D,-,Manama,Bahrain,Vietnam,New Zealand,3,0,25,25,25,-,-,23,22,15,-,-,3,11 ,25,14,15,20,18,0,2,,18,1,2,21,0,3,2,5,2,6,16,24,5,0,9,14,8,1,9,3,0,18,21
Men,2025,5,2025/6/18,Pool_D,-,Manama,Bahrain,New Zealand,Vietnam,0,3,23,22,15,-,-,25,25,25,-,-,ALL,16 ,61,44,74,40,34,4,2,,34,7,25,66,4,20,15,39,2,10,50,62,15,4,43,62,19,9,36,5,5,60,70
Men,2025,5,2025/6/18,Pool_D,-,Manama,Bahrain,New Zealand,Vietnam,0,3,23,22,15,-,-,25,25,25,-,-,1,7 ,23,16,25,17,12,3,2,,12,5,8,25,3,6,7,16,2,3,19,24,4,0,17,21,9,2,14,0,2,24,26
Men,2025,5,2025/6/18,Pool_D,-,Manama,Bahrain,New Zealand,Vietnam,0,3,23,22,15,-,-,25,25,25,-,-,2,8 ,23,14,24,15,14,1,0,,14,0,10,24,1,6,6,13,0,5,17,22,3,2,18,23,9,4,18,2,2,23,27
Men,2025,5,2025/6/18,Pool_D,-,Manama,Bahrain,New Zealand,Vietnam,0,3,23,22,15,-,-,25,25,25,-,-,3,1 ,15,14,25,8,8,0,0,,8,2,7,17,0,8,2,10,0,2,14,16,8,2,8,18,1,3,4,3,1,13,17
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Indonesia,Thailand,3,2,22,22,25,25,15,25,25,19,23,8,ALL,37 ,109,72,100,85,64,15,6,,64,19,39,122,15,22,16,53,6,26,77,109,17,3,68,88,33,17,55,13,0,101,114
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Indonesia,Thailand,3,2,22,22,25,25,15,25,25,19,23,8,1,7 ,23,15,24,17,12,4,1,,12,5,9,26,4,4,0,8,1,6,16,23,7,1,13,21,5,5,11,2,0,23,25
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Indonesia,Thailand,3,2,22,22,25,25,15,25,25,19,23,8,2,4 ,22,18,25,17,14,3,0,,14,3,9,26,3,6,7,16,0,10,12,22,4,2,17,23,7,1,10,1,0,24,25
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Indonesia,Thailand,3,2,22,22,25,25,15,25,25,19,23,8,3,11 ,25,14,19,17,15,1,1,,15,4,10,29,1,4,3,8,1,4,20,25,1,0,17,18,10,3,13,3,0,24,27
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Indonesia,Thailand,3,2,22,22,25,25,15,25,25,19,23,8,4,8 ,24,17,24,21,15,4,2,,15,5,8,28,4,7,5,16,2,3,19,24,3,0,17,20,6,6,14,4,0,22,26
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Indonesia,Thailand,3,2,22,22,25,25,15,25,25,19,23,8,5,7 ,15,8,8,13,8,3,2,,8,2,3,13,3,1,1,5,2,3,10,15,2,0,4,6,5,2,7,3,0,8,11
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Thailand,Indonesia,2,3,25,25,19,23,8,22,22,25,25,15,ALL,28 ,100,72,109,65,49,13,3,,49,25,34,108,13,30,23,66,3,12,85,100,21,6,56,83,31,11,47,11,0,97,108
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Thailand,Indonesia,2,3,25,25,19,23,8,22,22,25,25,15,1,9 ,24,16,23,15,11,3,1,,11,5,5,21,3,6,6,15,1,3,20,24,5,1,11,17,5,2,8,1,0,19,20
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Thailand,Indonesia,2,3,25,25,19,23,8,22,22,25,25,15,2,7 ,25,18,22,14,10,2,2,,10,6,10,26,2,3,4,9,2,2,21,25,3,0,9,12,10,2,15,3,0,23,26
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Thailand,Indonesia,2,3,25,25,19,23,8,22,22,25,25,15,3,5 ,19,14,25,14,11,3,0,,11,7,7,25,3,9,6,18,0,1,18,19,5,1,15,21,6,1,7,2,0,23,25
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Thailand,Indonesia,2,3,25,25,19,23,8,22,22,25,25,15,4,7 ,24,16,24,17,14,3,0,,14,4,8,26,3,9,4,16,0,4,20,24,5,2,14,21,8,4,13,3,0,24,27
Men,2025,6,2025/6/18,Pool_A,-,Manama,Bahrain,Thailand,Indonesia,2,3,25,25,19,23,8,22,22,25,25,15,5,0 ,8,8,15,5,3,2,0,,3,3,4,10,2,3,3,8,0,2,6,8,3,2,7,12,2,2,4,2,0,8,10
Men,2025,7,2025/6/19,Pool_B,-,Manama,Bahrain,Qatar,Australia,3,0,25,25,25,-,-,22,21,22,-,-,ALL,21 ,73,54,67,47,38,8,1,,38,9,29,76,8,19,14,41,1,10,62,73,10,1,36,47,32,12,49,7,2,68,77
Men,2025,7,2025/6/19,Pool_B,-,Manama,Bahrain,Qatar,Australia,3,0,25,25,25,-,-,22,21,22,-,-,1,6 ,24,19,23,15,13,2,0,,13,6,6,25,2,6,4,12,0,3,21,24,4,0,12,16,10,4,16,3,0,21,24
Men,2025,7,2025/6/19,Pool_B,-,Manama,Bahrain,Qatar,Australia,3,0,25,25,25,-,-,22,21,22,-,-,2,7 ,25,18,21,15,11,3,1,,11,1,10,22,3,7,4,14,1,3,21,25,3,0,9,12,10,4,16,1,2,21,24
Men,2025,7,2025/6/19,Pool_B,-,Manama,Bahrain,Qatar,Australia,3,0,25,25,25,-,-,22,21,22,-,-,3,8 ,24,17,23,17,14,3,0,,14,2,13,29,3,6,6,15,0,4,20,24,3,1,15,19,12,4,17,3,0,26,29
Men,2025,7,2025/6/19,Pool_B,-,Manama,Bahrain,Australia,Qatar,0,3,22,21,22,-,-,25,25,25,-,-,ALL,13 ,67,52,73,45,40,4,1,,40,12,35,87,4,19,13,36,1,20,46,67,13,1,49,63,18,10,35,3,1,76,80
Men,2025,7,2025/6/19,Pool_B,-,Manama,Bahrain,Australia,Qatar,0,3,22,21,22,-,-,25,25,25,-,-,1,4 ,23,18,24,14,12,2,0,,12,3,12,27,2,7,2,11,0,7,16,23,6,0,15,21,3,3,7,2,0,23,25
Men,2025,7,2025/6/19,Pool_B,-,Manama,Bahrain,Australia,Qatar,0,3,22,21,22,-,-,25,25,25,-,-,2,3 ,21,18,25,15,14,1,0,,14,3,10,27,1,5,4,10,0,9,12,21,5,1,16,22,5,4,13,1,1,25,27
Men,2025,7,2025/6/19,Pool_B,-,Manama,Bahrain,Australia,Qatar,0,3,22,21,22,-,-,25,25,25,-,-,3,6 ,23,16,24,16,14,1,1,,14,6,13,33,1,7,7,15,1,4,18,23,2,0,18,20,10,3,15,0,0,28,28
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Pakistan,Chinese Taipei,3,2,25,25,21,16,18,20,22,25,25,16,ALL,30 ,104,75,109,80,62,14,4,,62,12,40,114,14,34,17,65,4,14,87,105,17,5,69,91,29,19,54,9,3,101,113
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Pakistan,Chinese Taipei,3,2,25,25,21,16,18,20,22,25,25,16,1,9 ,24,16,21,20,14,4,2,,14,2,3,19,4,4,2,10,2,4,18,24,4,0,13,17,2,4,8,3,2,15,20
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Pakistan,Chinese Taipei,3,2,25,25,21,16,18,20,22,25,25,16,2,6 ,25,19,22,18,15,1,2,,15,1,8,24,1,11,4,16,2,4,19,25,3,1,12,16,9,2,13,3,0,21,24
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Pakistan,Chinese Taipei,3,2,25,25,21,16,18,20,22,25,25,16,3,5 ,21,16,25,16,14,2,0,,14,5,7,26,2,5,3,10,0,2,19,21,7,1,15,23,5,5,12,1,0,27,28
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Pakistan,Chinese Taipei,3,2,25,25,21,16,18,20,22,25,25,16,4,3 ,17,13,24,12,11,1,0,,11,4,9,24,1,8,4,13,0,3,14,17,2,2,17,21,5,6,11,2,0,18,20
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Pakistan,Chinese Taipei,3,2,25,25,21,16,18,20,22,25,25,16,5,7 ,17,11,17,14,8,6,0,,8,0,13,21,6,6,4,16,0,1,17,18,1,1,12,14,8,2,10,0,1,20,21
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Chinese Taipei,Pakistan,2,3,20,22,25,25,16,25,25,21,16,18,ALL,34 ,109,74,104,81,72,4,5,,72,21,36,129,4,25,17,46,5,17,86,108,17,4,70,91,38,12,62,13,1,110,124
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Chinese Taipei,Pakistan,2,3,20,22,25,25,16,25,25,21,16,18,1,5 ,21,15,24,12,11,1,0,,11,5,4,20,1,3,0,4,0,4,17,21,4,2,14,20,2,5,9,2,0,18,20
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Chinese Taipei,Pakistan,2,3,20,22,25,25,16,25,25,21,16,18,2,3 ,22,19,25,16,15,0,1,,15,2,10,27,0,6,2,8,1,6,15,22,3,2,16,21,7,3,13,2,0,24,26
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Chinese Taipei,Pakistan,2,3,20,22,25,25,16,25,25,21,16,18,3,9 ,25,16,21,19,17,1,1,,17,5,7,29,1,7,2,10,1,2,22,25,2,0,17,19,8,1,12,6,0,20,26
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Chinese Taipei,Pakistan,2,3,20,22,25,25,16,25,25,21,16,18,4,11 ,24,14,17,20,16,2,2,,16,1,7,24,2,5,6,13,2,3,19,24,2,0,12,14,9,3,15,1,1,22,24
Men,2025,8,2025/6/19,Pool_C,-,Manama,Bahrain,Chinese Taipei,Pakistan,2,3,20,22,25,25,16,25,25,21,16,18,5,6 ,17,10,17,14,13,0,1,,13,8,8,29,0,4,7,11,1,2,13,16,6,0,11,17,12,0,13,2,0,26,28
Men,2025,9,2025/6/19,Pool_D,-,Manama,Bahrain,Korea,Vietnam,3,0,25,25,25,-,-,22,23,12,-,-,ALL,29 ,74,46,58,55,42,10,3,,42,5,19,66,10,9,13,32,3,9,62,74,10,3,32,45,27,12,45,8,0,61,69
Men,2025,9,2025/6/19,Pool_D,-,Manama,Bahrain,Korea,Vietnam,3,0,25,25,25,-,-,22,23,12,-,-,1,10 ,25,15,22,18,14,3,1,,14,3,9,26,3,4,7,14,1,2,22,25,3,1,13,17,13,5,23,1,0,28,29
Men,2025,9,2025/6/19,Pool_D,-,Manama,Bahrain,Korea,Vietnam,3,0,25,25,25,-,-,22,23,12,-,-,2,5 ,24,20,24,19,17,1,1,,17,1,6,24,1,2,2,5,1,4,19,24,4,2,16,22,3,6,10,3,0,21,24
Men,2025,9,2025/6/19,Pool_D,-,Manama,Bahrain,Korea,Vietnam,3,0,25,25,25,-,-,22,23,12,-,-,3,14 ,25,11,12,18,11,6,1,,11,1,4,16,6,3,4,13,1,3,21,25,3,0,3,6,11,1,12,4,0,12,16
Men,2025,9,2025/6/19,Pool_D,-,Manama,Bahrain,Vietnam,Korea,0,3,22,23,12,-,-,25,25,25,-,-,ALL,12 ,58,45,74,45,40,2,3,,40,15,30,85,2,19,9,30,3,13,42,58,14,3,48,65,16,7,28,13,1,66,80
Men,2025,9,2025/6/19,Pool_D,-,Manama,Bahrain,Vietnam,Korea,0,3,22,23,12,-,-,25,25,25,-,-,1,7 ,22,15,25,18,16,1,1,,16,5,17,38,1,8,5,14,1,5,16,22,3,1,19,23,8,0,12,7,0,26,33
Men,2025,9,2025/6/19,Pool_D,-,Manama,Bahrain,Vietnam,Korea,0,3,22,23,12,-,-,25,25,25,-,-,2,4 ,24,19,24,19,16,1,2,,16,3,2,21,1,7,2,10,2,2,20,24,4,1,15,20,3,4,8,1,1,19,21
Men,2025,9,2025/6/19,Pool_D,-,Manama,Bahrain,Vietnam,Korea,0,3,22,23,12,-,-,25,25,25,-,-,3,1 ,12,11,25,8,8,0,0,,8,7,11,26,0,4,2,6,0,6,6,12,7,1,14,22,5,3,8,5,0,21,26
Men,2025,10,2025/6/19,Pool_A,-,Manama,Bahrain,Bahrain,Indonesia,3,0,25,27,25,-,-,13,25,22,-,-,ALL,31 ,76,46,61,55,44,8,3,,44,10,26,80,8,16,15,39,3,11,61,75,25,2,27,54,24,8,39,13,0,67,80
Men,2025,10,2025/6/19,Pool_A,-,Manama,Bahrain,Bahrain,Indonesia,3,0,25,27,25,-,-,13,25,22,-,-,1,16 ,25,9,13,17,11,4,2,,11,2,7,20,4,5,6,15,2,2,20,24,4,1,8,13,9,1,10,2,0,19,21
Men,2025,10,2025/6/19,Pool_A,-,Manama,Bahrain,Bahrain,Indonesia,3,0,25,27,25,-,-,13,25,22,-,-,2,9 ,26,18,26,21,17,3,1,,17,4,10,31,3,6,5,14,1,6,20,27,12,1,9,22,9,3,15,5,0,26,31
Men,2025,10,2025/6/19,Pool_A,-,Manama,Bahrain,Bahrain,Indonesia,3,0,25,27,25,-,-,13,25,22,-,-,3,6 ,25,19,22,17,16,1,0,,16,4,9,29,1,5,4,10,0,3,21,24,9,0,10,19,6,4,14,6,0,22,28
Men,2025,10,2025/6/19,Pool_A,-,Manama,Bahrain,Indonesia,Bahrain,0,3,13,25,22,-,-,25,27,25,-,-,ALL,15 ,61,45,76,44,35,6,3,,35,16,30,81,6,20,9,35,3,7,52,62,24,3,37,64,23,13,38,12,1,72,85
Men,2025,10,2025/6/19,Pool_A,-,Manama,Bahrain,Indonesia,Bahrain,0,3,13,25,22,-,-,25,27,25,-,-,1,4 ,13,9,25,9,7,1,1,,7,9,11,27,1,4,1,6,1,1,12,14,7,2,13,22,6,1,8,2,0,25,27
